"id","soiltype","taxgrsc","x","y","uhdicm_a","lhdicm_a","sndmht_a","sltmht_a","clymht_a","uhdicm_b","lhdicm_b","sndmht_b","sltmht_b","clymht_b","uhdicm_c","lhdicm_c","sndmht_c","sltmht_c","clymht_c","uhdicm_d","lhdicm_d","sndmht_d","sltmht_d","clymht_d","uhdicm_e","lhdicm_e","sndmht_e","sltmht_e","clymht_e"
"id1956","A","Auenboden",571229.027383546,5716461.62100121,0,10,12.5,52.5,40,10,30,12.5,52.5,40,30,50,12.5,52.5,40,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2911","Z","Pararendzina",571252.016589227,5716280.69387597,0,10,18.8,37.6,37.6,10,30,7.8125,26.5625,34.375,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id1957","S","Pseudogley",571262.01098585,5716102.76570494,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id1958","B","Braunerde",571267.916583317,5706143.79204144,0,10,19,69,14.5,10,30,19,69,14.5,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"idx091",NA,NA,571269.011437541,5716454.62332523,0,10,12.5,25,25,10,30,11.75,39.95,51.7,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id0252","Z","Pararendzina",571270.005103762,5715807.88485628,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id0251","D","Pelosol",571270.013855735,5716761.49920771,0,10,27.5,42.5,30,10,30,12.5,25,25,30,50,12.5,25,25,50,70,17.1875,26.5625,18.75,70,90,12.5,25,25
"idx092",NA,NA,571273.921974504,5706976.4554482,0,10,22.825,35.275,24.9,10,30,13.695,55.195,17.43,30,50,10.3125,41.5625,13.125,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2912","Z","Pararendzina",571274.004572472,5715922.83832058,0,10,18.8,37.6,37.6,10,30,12.5,25,25,30,50,12.5,25,25,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1959","A","Auenboden",571280.005539229,5716287.69069672,0,10,12.5,52.5,40,10,30,12.5,52.5,40,30,50,12.5,52.5,40,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1960","D","Pelosol",571281.908065775,5705815.92451928,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id0253",NA,NA,571283.972803373,5712898.061362,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id0254","K","Kolluvisol",571295.905465347,5706124.7996215,0,10,6.5,76.5,23.5,10,30,6.5,76.5,23.5,30,50,6.5,76.5,23.5,50,70,6.5,76.5,23.5,70,90,6.5,76.5,23.5
"id0255","L","Parabraunerde",571301.90388127,5706206.76646744,0,10,19,69,14.5,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,19,69,14.5,70,90,19,69,14.5
"id2913","D","Pelosol",571311.993193975,5716326.67453012,0,10,20,40,40,10,30,7.8125,26.5625,34.375,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id0256","Z","Pararendzina",571320.901307678,5706730.55465819,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,18.8,37.6,37.6,50,70,12.5,25,25,70,90,12.5,25,25
"id0257","D","Pelosol",571328.985129679,5716182.73253581,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1961","Z","Pararendzina",571331.899049083,5706951.46530696,0,10,25.85,39.95,28.2,10,30,13.695,55.195,17.43,30,50,10.3125,41.5625,13.125,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2914","D","Pelosol",571335.982881376,5716240.70899958,0,10,20,40,40,10,30,7.8125,26.5625,34.375,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id0258","K","Kolluvisol",571339.886957934,5705982.85685144,0,10,6.5,76.5,23.5,10,30,6.5,76.5,23.5,30,50,6.5,76.5,23.5,50,70,6.5,76.5,23.5,70,90,6.5,76.5,23.5
"id2915","Q","Regosol",571341.982261939,5716433.63089327,0,10,20,40,40,10,30,7.8125,26.5625,34.375,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id0259",NA,NA,571357.942895261,5712823.09098014,0,10,16.5,66.5,21,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0260",NA,NA,571358.945229862,5713120.97050274,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,20,40,40,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0261",NA,NA,571361.943440526,5713054.9971549,0,10,16.5,66.5,21,10,30,15.51,62.51,19.74,30,50,18.8,37.6,37.6,50,70,16.6,33.2,33.2,70,90,16.6,33.2,33.2
"id2916","D","Pelosol",571369.97200163,5716527.59253229,0,10,20,40,40,10,30,7.8125,26.5625,34.375,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id0262","K","Kolluvisol",571370.876804459,5706194.77107389,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,19,69,14.5,70,90,19,69,14.5
"id1962","D","Pelosol",571373.87188358,5705788.93513839,0,10,12.5,42.5,55,10,30,11.75,39.95,51.7,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"idx093",NA,NA,571375.970848431,5716662.53786955,0,10,7.8125,26.5625,34.375,10,30,7.8125,26.5625,34.375,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"idx094",NA,NA,571383.960842576,5715912.84102601,0,10,16.6,33.2,33.2,10,30,7.8125,26.5625,34.375,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1963","Z","Pararendzina",571385.958537076,5715746.90812177,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,12.5,25,25,50,70,12.5,25,25,70,90,12.5,25,25
"id2917","D","Pelosol",571392.966260856,5716900.44141303,0,10,27.5,42.5,30,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1964","B","Braunerde",571393.866405453,5706041.83282745,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0263","Z","Pararendzina",571404.95376687,5716050.78496939,0,10,20,40,40,10,30,12.5,25,25,30,50,12.5,25,25,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id2918","Z","Pararendzina",571406.866832892,5706639.59109462,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2920","D","Pelosol",571411.957486014,5716765.49575688,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2919","Q","Regosol",571411.958330593,5716858.45814943,0,10,25.85,39.95,28.2,10,30,7.8125,26.5625,34.375,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0006","B","Braunerde",571428.853530813,5706128.79754591,0,10,20,40,40,10,30,20,40,40,30,50,19,69,14.5,50,70,20,40,40,70,90,20,40,40
"id0264","D","Pelosol",571433.948166602,5716701.5213543,0,10,25.85,39.95,28.2,10,30,11.75,39.95,51.7,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id0265",NA,NA,571456.904871677,5712940.04274138,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"idx096",NA,NA,571456.933251476,5716063.77907367,0,10,12.5,25,25,10,30,15.51,62.51,19.74,30,50,27.5,42.5,30,50,70,27.5,42.5,30,70,90,27.5,42.5,30
"id1965",NA,NA,571462.905221553,5713238.9217837,0,10,18.8,37.6,37.6,10,30,25.85,39.95,28.2,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,NA,NA,NA
"id0266","L","Parabraunerde",571469.839288806,5706322.71898646,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,19,69,14.5,70,90,19,69,14.5
"id2921","D","Pelosol",571488.830497265,5706173.77914827,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id3342","Z","Pararendzina",571490.91720081,5715780.89311041,0,10,20,40,40,10,30,16.6,33.2,33.2,30,50,10.375,35.275,45.65,50,70,10.375,35.275,45.65,70,90,10.375,35.275,45.65
"id0268","B","Braunerde",571492.829859025,5706274.73830646,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,27.5,42.5,30,70,90,27.5,42.5,30
"id0267","L","Parabraunerde",571492.832779515,5706593.6093538,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,20,40,40
"id0269","Z","Pararendzina",571495.833765788,5706829.51393953,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id3343","Z","Pararendzina",571503.912360969,5715815.87879844,0,10,20,40,40,10,30,16.6,33.2,33.2,30,50,10.375,35.275,45.65,50,70,10.375,35.275,45.65,70,90,10.375,35.275,45.65
"id0270","B","Braunerde",571511.82678476,5706750.54581119,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id1966","B","Braunerde",571511.919082478,5716910.43583209,0,10,20,40,40,10,30,20,40,40,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id0271","D","Pelosol",571527.909325781,5716534.58769388,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2922","Z","Pararendzina",571528.826568755,5707455.26072151,0,10,16.5,66.5,21,10,30,15.51,62.51,19.74,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0272","D","Pelosol",571532.909115356,5716731.50794674,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,11.75,39.95,51.7,70,90,11.75,39.95,51.7
"id0273","Z","Pararendzina",571534.823444309,5707370.29505902,0,10,20,40,40,10,30,25.85,39.95,28.2,30,50,25.85,39.95,28.2,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0274","Z","Pararendzina",571544.816694589,5707059.4207515,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3344","Z","Pararendzina",571548.893475547,5715700.9247707,0,10,20,40,40,10,30,16.6,33.2,33.2,30,50,10.375,35.275,45.65,50,70,10.375,35.275,45.65,70,90,10.375,35.275,45.65
"id0275","D","Pelosol",571548.895547873,5715930.8317397,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1967","Z","Pararendzina",571564.895128183,5716589.56497545,0,10,20,40,40,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id3345","Z","Pararendzina",571568.885831957,5715732.91158742,0,10,20,40,40,10,30,16.6,33.2,33.2,30,50,10.375,35.275,45.65,50,70,10.375,35.275,45.65,70,90,10.375,35.275,45.65
"id0276","B","Braunerde",571576.804572351,5707103.40282408,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,45,34,20,50,70,45,34,20,70,90,NA,NA,NA
"id0277","B","Braunerde",571584.879063893,5715685.93040758,0,10,16.5,66.5,21,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0278","Z","Pararendzina",571599.79541681,5707086.40959866,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0279","B","Braunerde",571604.872389278,5715825.87353412,0,10,16.5,66.5,21,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id1968","S","Pseudogley",571610.879450682,5716878.44747161,0,10,20,40,40,10,30,27.5,42.5,30,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2923","D","Pelosol",571630.866975759,5716372.65192492,0,10,20,40,40,10,30,7.8125,26.5625,34.375,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id0280","B","Braunerde",571637.780998718,5707136.38921593,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,45,34,20,50,70,45,34,20,70,90,NA,NA,NA
"id0281","B","Braunerde",571656.771047046,5706858.50155576,0,10,20,40,40,10,30,20,40,40,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id2924","Z","Pararendzina",571661.850298643,5715883.84937976,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,22.825,35.275,24.9,50,70,22.825,35.275,24.9,70,90,22.825,35.275,24.9
"id2925","Z","Pararendzina",571663.847833378,5715696.92501281,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,22.825,35.275,24.9,50,70,22.825,35.275,24.9,70,90,22.825,35.275,24.9
"id0282","B","Braunerde",571674.762088719,5706646.58721648,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,20,40,40,70,90,NA,NA,NA
"id0283","B","Braunerde",571676.763909842,5706934.47073831,0,10,20,40,40,10,30,20,40,40,30,50,7.8125,26.5625,34.375,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1969","Z","Pararendzina",571676.766990923,5707275.33283201,0,10,15.51,62.51,19.74,10,30,16.6,33.2,33.2,30,50,12.5,25,25,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1970","D","Pelosol",571680.752815375,5705880.89696617,0,10,12.5,42.5,55,10,30,11.75,39.95,51.7,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2926","D","Pelosol",571690.846116577,5716704.51683576,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"idx097",NA,NA,571700.833998501,5715790.88653619,0,10,NA,NA,NA,10,30,15,60,30,30,50,15,60,30,50,70,15,60,30,70,90,NA,NA,NA
"id0284","Z","Pararendzina",571712.739774162,5705820.92112807,0,10,20,40,40,10,30,20,40,40,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,NA,NA,NA
"id2927","Z","Pararendzina",571723.748718507,5707289.3269593,0,10,15.51,62.51,19.74,10,30,10.3125,41.5625,13.125,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2928","D","Pelosol",571729.83051967,5716692.52119008,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2929","Z","Pararendzina",571734.820077078,5715741.90595427,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,22.825,35.275,24.9,50,70,22.825,35.275,24.9,70,90,22.825,35.275,24.9
"id2930","S","Pseudogley",571744.729086459,5706021.83973111,0,10,20,40,40,10,30,20,40,40,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id0285","L","Parabraunerde",571750.732780829,5706692.56831315,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,45,34,20
"id0286","L","Parabraunerde",571753.730447259,5706563.62047867,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id1971","S","Pseudogley",571773.814789669,5716889.44089807,0,10,20,40,40,10,30,27.5,42.5,30,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id0287","L","Parabraunerde",571774.720861329,5706410.68228522,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,19,69,14.5,70,90,19,69,14.5
"id0288","B","Braunerde",571813.710819045,5706991.44710841,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,20,40,40,70,90,20,40,40
"id1972","D","Pelosol",571816.703609049,5706317.71975054,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2931","D","Pelosol",571816.794241815,5716497.59899578,0,10,20,40,40,10,30,7.8125,26.5625,34.375,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id1973","B","Braunerde",571825.700825392,5706399.68654612,0,10,15,60,30,10,30,15,60,30,30,50,15,60,30,50,70,15,60,30,70,90,15,60,30
"id1974","D","Pelosol",571831.696537509,5706182.77430873,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2932","D","Pelosol",571843.689718795,5705944.8705482,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0289","D","Pelosol",571864.775403297,5716522.58826775,0,10,27.5,42.5,30,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"idx100",NA,NA,571873.689152003,5707194.36472296,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1975","D","Pelosol",571879.77258834,5716879.44356512,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1976","D","Pelosol",571884.676806697,5706292.72961879,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1977","D","Pelosol",571886.674847774,5706160.7830169,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id0290","B","Braunerde",571904.673859649,5706839.50822586,0,10,45,34,20,10,30,18.8,37.6,37.6,30,50,18.8,37.6,37.6,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id1978","D","Pelosol",571908.759293374,5716677.52496186,0,10,20,40,40,10,30,11.75,39.95,51.7,30,50,11.75,39.95,51.7,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id1979","Z","Pararendzina",571928.667349378,5707163.37702478,0,10,16.5,66.5,21,10,30,16.6,33.2,33.2,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0291","S","Pseudogley",571931.662542375,5706754.54250969,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"idx101",NA,NA,571934.665480456,5707217.35514753,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0292","B","Braunerde",571939.656251311,5706398.68652939,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id2933","D","Pelosol",571974.7312795,5716471.60751929,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1980","Z","Pararendzina",572001.63402202,5706625.59443482,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0293","B","Braunerde",572007.634981016,5706999.44305173,0,10,45,34,20,10,30,18.8,37.6,37.6,30,50,18.8,37.6,37.6,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id2934","S","Pseudogley",572015.621245319,5705799.92866233,0,10,12.5,42.5,55,10,30,57.5,21.5,21,30,50,66.5,23.5,10,50,70,66.5,23.5,10,70,90,66.5,23.5,10
"id1981","D","Pelosol",572021.62386008,5706360.70160528,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1982","B","Braunerde",572031.704684376,5716016.79103729,0,10,20,40,40,10,30,20,40,40,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id1983","D","Pelosol",572049.612791508,5706346.707169,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1984","D","Pelosol",572065.606968875,5706395.68727798,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id3346","Q","Regosol",572067.659956674,5712524.20536158,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0294","K","Kolluvisol",572069.607236406,5706603.60307444,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,6.5,76.5,23.5,50,70,6.5,76.5,23.5,70,90,6.5,76.5,23.5
"id1985","D","Pelosol",572069.696574138,5716818.46579442,0,10,18.8,37.6,37.6,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1986","D","Pelosol",572075.694980322,5716909.42886401,0,10,20,40,40,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id1987","D","Pelosol",572076.692344052,5716651.533334,0,10,20,40,40,10,30,11.75,39.95,51.7,30,50,11.75,39.95,51.7,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id2935","Z","Pararendzina",572082.654342419,5712559.1910533,0,10,18.8,37.6,37.6,10,30,25.85,39.95,28.2,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id3502","Z","Pararendzina",572094.59577289,5706411.68069449,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1988","D","Pelosol",572096.684184412,5716626.54320235,0,10,20,40,40,10,30,11.75,39.95,51.7,30,50,11.75,39.95,51.7,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id0295","L","Parabraunerde",572101.587648688,5705798.92879496,0,10,66.5,23.5,10,10,30,60,26.5,14.5,30,50,60,26.5,14.5,50,70,60,26.5,14.5,70,90,11.5,76.5,14.5
"id2936","D","Pelosol",572108.676204948,5716255.69330176,0,10,20,40,40,10,30,11.75,39.95,51.7,30,50,11.75,39.95,51.7,50,70,11.75,39.95,51.7,70,90,11.75,39.95,51.7
"id2937","D","Pelosol",572110.585794269,5705987.85226353,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id3503","Z","Pararendzina",572112.589640349,5706514.63893427,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0296","Z","Pararendzina",572114.593552032,5707049.42235897,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0297","B","Braunerde",572116.582176829,5705842.91093712,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0298","L","Parabraunerde",572134.583649785,5706812.51821589,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,6.5,76.5,23.5,70,90,6.5,76.5,23.5
"id1989","D","Pelosol",572142.667989597,5716866.4454063,0,10,18.8,37.6,37.6,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2938","Z","Pararendzina",572161.57720544,5707283.3274234,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3347","R","Rendzina",572166.644738851,5715278.08870021,0,10,20,40,40,10,30,10.375,35.275,45.65,30,50,10.375,35.275,45.65,50,70,10.375,35.275,45.65,70,90,10.375,35.275,45.65
"id1990","D","Pelosol",572167.568844163,5706595.60593313,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id3348","R","Rendzina",572178.641070898,5715404.03752681,0,10,20,40,40,10,30,10.375,35.275,45.65,30,50,10.375,35.275,45.65,50,70,10.375,35.275,45.65,70,90,10.375,35.275,45.65
"id3349","R","Rendzina",572190.638478801,5715654.93571916,0,10,20,40,40,10,30,10.375,35.275,45.65,30,50,10.375,35.275,45.65,50,70,10.375,35.275,45.65,70,90,10.375,35.275,45.65
"id0299","L","Parabraunerde",572191.560279684,5706689.56778292,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id2939","D","Pelosol",572193.642898591,5716305.67198891,0,10,20,40,40,10,30,11.75,39.95,51.7,30,50,11.75,39.95,51.7,50,70,11.75,39.95,51.7,70,90,11.75,39.95,51.7
"id1991","D","Pelosol",572200.644388412,5716801.47098226,0,10,18.8,37.6,37.6,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2940","Z","Pararendzina",572201.560998164,5707220.35275196,0,10,18.8,37.6,37.6,10,30,17.1875,26.5625,18.75,30,50,17.1875,26.5625,18.75,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2941","B","Braunerde",572209.560679646,5707543.22193509,0,10,20,40,40,10,30,12.5,25,25,30,50,12.5,25,25,50,70,12.5,25,25,70,90,12.5,25,25
"id3350","D","Pelosol",572213.636937711,5716535.57856857,0,10,20,40,40,10,30,20,40,40,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id2942","Z","Pararendzina",572214.6011838,5712436.23965837,0,10,18.8,37.6,37.6,10,30,25.85,39.95,28.2,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id0300","D","Pelosol",572227.596805634,5712523.20430399,0,10,18.8,37.6,37.6,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1992","D","Pelosol",572237.621130338,5715804.87439427,0,10,18.8,37.6,37.6,10,30,10.375,35.275,45.65,30,50,12.5,42.5,55,50,70,12.5,42.5,55,70,90,12.5,42.5,55
"id0301","B","Braunerde",572239.588582686,5712119.36782453,0,10,20,40,40,10,30,25.85,39.95,28.2,30,50,25.85,39.95,28.2,50,70,16.6,33.2,33.2,70,90,NA,NA,NA
"id3504","Q","Regosol",572249.545041159,5707546.22053177,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
